alpha,beta,q_v,q_h,q_v_hat,q_h_hat,chi_vh
1.0,0.5700,1.7090429675e-02,1.2586520025e-02,2.0446801781e-03,2.7763403007e-03,2.33053e-03
1.0,0.5800,1.7464201980e-02,1.2739633704e-02,2.1428063890e-03,2.9374787731e-03,2.45184e-03
1.0,0.5900,1.7857457454e-02,1.2901647424e-02,2.2455317341e-03,3.1080904699e-03,2.57927e-03
1.0,0.6000,1.8271561731e-02,1.3073213419e-02,2.3531784155e-03,3.2888811116e-03,2.71323e-03
1.0,0.6100,1.8708013886e-02,1.3255047068e-02,2.4661015069e-03,3.4806259834e-03,2.85417e-03
1.0,0.6200,1.9168462754e-02,1.3447934492e-02,2.5846930094e-03,3.6841785413e-03,3.00256e-03
1.0,0.6300,1.9654725781e-02,1.3652741375e-02,2.7093865258e-03,3.9004803313e-03,3.15894e-03
1.0,0.6400,2.0168810587e-02,1.3870423011e-02,2.8406626326e-03,4.1305724083e-03,3.32388e-03
1.0,0.6500,2.0712940177e-02,1.4102036047e-02,2.9790551150e-03,4.3756086125e-03,3.49803e-03
1.0,0.6600,2.1289581954e-02,1.4348751984e-02,3.1251581822e-03,4.6368709497e-03,3.68208e-03
1.0,0.6700,2.1901481511e-02,1.4611872783e-02,3.2796348461e-03,4.9157875252e-03,3.87682e-03
1.0,0.6800,2.2551702265e-02,1.4892849291e-02,3.4432267562e-03,5.2139535638e-03,4.08308e-03
1.0,0.6900,2.3243671806e-02,1.5193302599e-02,3.6167656836e-03,5.5331560734e-03,4.30182e-03
1.0,0.7000,2.3981236279e-02,1.5515049107e-02,3.8011870313e-03,5.8754028884e-03,4.53408e-03
1.0,0.7100,2.4768725097e-02,1.5860130287e-02,3.9975458389e-03,6.2429571606e-03,4.78101e-03
1.0,0.7200,2.5611027163e-02,1.6230847532e-02,4.2070356804e-03,6.6383782406e-03,5.04392e-03
1.0,0.7300,2.6513682172e-02,1.6629803981e-02,4.4310112707e-03,7.0645706147e-03,5.32422e-03
1.0,0.7400,2.7482989361e-02,1.7059954025e-02,4.6710154120e-03,7.5248424870e-03,5.62352e-03
1.0,0.7500,2.8526138716e-02,1.7524662809e-02,4.9288114151e-03,8.0229765140e-03,5.94361e-03
1.0,0.7600,2.9651369124e-02,1.8027777842e-02,5.2064222408e-03,8.5633154031e-03,6.28648e-03
1.0,0.7700,3.0868160459e-02,1.8573715477e-02,5.5061779533e-03,9.1508661680e-03,6.65437e-03
1.0,0.7800,3.2187467277e-02,1.9167565692e-02,5.8307734835e-03,9.7914275458e-03,7.04978e-03
1.0,0.7900,3.3622006269e-02,1.9815220367e-02,6.1833395155e-03,1.0491747056e-02,7.47552e-03
1.0,0.8000,3.5186609019e-02,2.0523529874e-02,6.5675295596e-03,1.1259714886e-02,7.93471e-03
1.0,0.8100,3.6898659558e-02,2.1300495918e-02,6.9876276860e-03,1.2104605268e-02,8.43087e-03
1.0,0.8200,3.8778637853e-02,2.2155509812e-02,7.4486823988e-03,1.3037378046e-02,8.96789e-03
1.0,0.8300,4.0850799210e-02,2.3099647539e-02,7.9566735948e-03,1.4071057788e-02,9.55007e-03
1.0,0.8400,4.3144025968e-02,2.4146036872e-02,8.5187218085e-03,1.5221212362e-02,1.01821e-02
1.0,0.8500,4.5692899849e-02,2.5310314297e-02,9.1433510397e-03,1.6506560070e-02,1.08692e-02
1.0,0.8600,4.8539053604e-02,2.6611194448e-02,9.8408197068e-03,1.7949742023e-02,1.16167e-02
1.0,0.8700,5.1732876887e-02,2.8071178060e-02,1.0623537337e-02,1.9578307258e-02,1.24301e-02
1.0,0.8800,5.5335663755e-02,2.9717427562e-02,1.1506587952e-02,2.1425969006e-02,1.33148e-02
1.0,0.8900,5.9422297655e-02,3.1582837286e-02,1.2508382707e-02,2.3534200986e-02,1.42753e-02
1.0,0.9000,6.4084569370e-02,3.3707317473e-02,1.3651463576e-02,2.5954250595e-02,1.53146e-02
1.0,0.9100,6.9435180937e-02,3.6139280886e-02,1.4963469251e-02,2.8749636667e-02,1.64324e-02
1.0,0.9200,7.5612389018e-02,3.8937261670e-02,1.6478249139e-02,3.1999163032e-02,1.76235e-02
1.0,0.9300,8.2785001165e-02,4.2171471709e-02,1.8237052941e-02,3.5800373754e-02,1.88745e-02
1.0,0.9400,9.1156987762e-02,4.5924885428e-02,2.0289614382e-02,4.0273157193e-02,2.01602e-02
